T,genP,demP,H,B
18.5,0.01,0.066,18,162
19,0.002,0.066,18,162
19.5,0.001,0.069,18,162
20,0,0.21,18,162
20.5,0,0.885,18,162
21,0,0.369,18,162
21.5,0,0.467,18,162
22,0,0.377,18,162
22.5,0,0.264,18,162
23,0,0.246,18,162
23.5,0,0.13,18,162
0,0,0.113,19,172
0.5,0,0.1,19,172
1,0,0.081,19,172
1.5,0,0.119,19,172
2,0,0.056,19,172
2.5,0,0.125,19,172
3,0,0.1,19,172
3.5,0,0.081,19,172
4,0,0.125,19,172
4.5,0,0.056,19,172
5,0,0.113,19,172
5.5,0,0.1,19,172
6,0,0.081,19,172
6.5,0.013,0.106,19,172
7,0.063,0.081,19,172
7.5,0.131,0.144,19,172
8,0.194,0.206,19,172
8.5,0.244,0.113,19,172
9,0.3,0.544,19,172
9.5,0.319,0.113,19,172
10,0.25,0.2,19,172
10.5,0.275,0.175,19,172
11,0.381,0.225,19,172
11.5,0.319,0.15,19,172
12,0.388,0.131,19,172
12.5,0.4,0.131,19,172
13,0.444,0.15,19,172
13.5,0.425,0.106,19,172
14,0.406,0.131,19,172
14.5,0.381,0.175,19,172
15,0.35,0.1,19,172
15.5,0.313,0.144,19,172
16,0.263,0.081,19,172
16.5,0.2,0.15,19,172
17,0.144,0.163,19,172
17.5,0.088,0.363,19,172
18,0.031,0.325,19,172
18.5,0.013,1.113,19,172
19,0,0.306,19,172
19.5,0,0.2,19,172
20,0,0.225,19,172
20.5,0,0.244,19,172
21,0,0.2,19,172
21.5,0,0.094,19,172
22,0,0.119,19,172
22.5,0,0.1,19,172
23,0,0.081,19,172
23.5,0,0.119,19,172
0,0,0.413,20,176
0.5,0,0.213,20,176
1,0,0.225,20,176
1.5,0,0.263,20,176
2,0,0.213,20,176
2.5,0,0.238,20,176
3,0,0.225,20,176
3.5,0,0.225,20,176
4,0,0.213,20,176
4.5,0,0.238,20,176
5,0.006,0.2,20,176
5.5,0,0.156,20,176
6,0.006,0.163,20,176
6.5,0.044,0.15,20,176
7,0.131,0.125,20,176
7.5,0.225,0.15,20,176
8,0.331,0.15,20,176
8.5,0.388,0.125,20,176
9,0.45,0.413,20,176
9.5,0.513,0.3,20,176
10,0.563,0.238,20,176
10.5,0.475,0.813,20,176
11,0.381,0.338,20,176
11.5,0.375,0.325,20,176
12,0.375,0.238,20,176
12.5,0.519,0.275,20,176
13,0.65,0.425,20,176
13.5,0.625,0.338,20,176
14,0.606,0.288,20,176
14.5,0.5,0.263,20,176
15,0.413,0.3,20,176
15.5,0.413,0.238,20,176
16,0.381,0.2,20,176
16.5,0.206,0.375,20,176
17,0.188,0.413,20,176
17.5,0.094,0.138,20,176
18,0.044,0.175,20,176
18.5,0.013,0.25,20,176
19,0,0.225,20,176
19.5,0,0.263,20,176
20,0,0.138,20,176
20.5,0,0.263,20,176
21,0,0.125,20,176
21.5,0,0.088,20,176
22,0,0.088,20,176
22.5,0,0.075,20,176
23,0,0.05,20,176
23.5,0,0.138,20,176
0,0,0.226,21,180
0.5,0,0.242,21,180
1,0,0.224,21,180
1.5,0,0.235,21,180
2,0,0.211,21,180
2.5,0,0.218,21,180
3,0,0.223,21,180
3.5,0,0.215,21,180
4,0,0.235,21,180
4.5,0,0.217,21,180
5,0,0.239,21,180
5.5,0,0.268,21,180
6,0,0.714,21,180
6.5,0,0.433,21,180
7,0,0.264,21,180
7.5,0.013,0.271,21,180
8,0.031,0.206,21,180
8.5,0.088,0.225,21,180
9,0.181,0.205,21,180
9.5,0.288,0.211,21,180
10,0.425,0.222,21,180
10.5,0.463,0.212,21,180
11,0.444,0.231,21,180
11.5,0.331,0.209,21,180
12,0.325,0.229,21,180
12.5,0.413,0.217,21,180
13,0.506,0.268,21,180
13.5,0.6,0.28,21,180
14,0.563,0.263,21,180
